season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
1,1,1,Pilot,James Burrows,Chuck Lorre & Bill Prady,24-09-2007,276023,9520000
1,2,2,The Big Bran Hypothesis,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: Robert Cohen & Dave Goetsch,01-10-2007,3T6601,8580000
1,3,3,The Fuzzy Boots Corollary,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Bill Prady & Steven Molaro,08-10-2007,3T6602,8360000
1,4,4,The Luminous Fish Effect,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: David Litt & Lee Aronsohn,15-10-2007,3T6603,8150000
1,5,5,The Hamburger Postulate,Andrew D. Weyman,Story by: Jennifer GlickmanTeleplay by: Dave Goetsch & Steven Molaro,22-10-2007,3T6604,8810000
1,6,6,The Middle Earth Paradigm,Mark Cendrowski,Story by: Dave GoetschTeleplay by: David Litt & Robert Cohen,29-10-2007,3T6605,8920000
1,7,7,The Dumpling Paradox,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: Lee Aronsohn & Jennifer Glickman,05-11-2007,3T6606,9680000
1,8,8,The Grasshopper Experiment,Ted Wass,Story by: Dave Goetsch & Steven MolaroTeleplay by: Lee Aronsohn & Robert Cohen,12-11-2007,3T6607,9320000
1,9,9,The Cooper-Hofstadter Polarization,Joel Murray,Story by: Bill Prady & Stephen EngelTeleplay by: Chuck Lorre & Lee Aronsohn & Dave Goetsch,17-03-2008,3T6608,9110000
1,10,10,The Loobenfeld Decay,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Bill Prady & Lee Aronsohn,24-03-2008,3T6609,8630000
1,11,11,The Pancake Batter Anomaly,Mark Cendrowski,Story by: Chuck Lorre & Lee AronsohnTeleplay by: Bill Prady & Stephen Engel,31-03-2008,3T6610,8680000
1,12,12,The Jerusalem Duality,Mark Cendrowski,Story by: Jennifer Glickman & Stephen EngelTeleplay by: Dave Goetsch & Steven Molaro,14-04-2008,3T6611,7690000
1,13,13,The Bat Jar Conjecture,Mark Cendrowski,Story by: Stephen Engel & Jennifer GlickmanTeleplay by: Bill Prady & Robert Cohen,21-04-2008,3T6612,7510000
1,14,14,The Nerdvana Annihilation,Mark Cendrowski,Story by: Bill PradyTeleplay by: Stephen Engel & Steven Molaro,28-04-2008,3T6613,8070000
1,15,15,The Pork Chop Indeterminacy,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Lee Aronsohn & Bill Prady,05-05-2008,3T6614,7380000
1,16,16,The Peanut Reaction,Mark Cendrowski,Story by: Bill Prady & Lee AronsohnTeleplay by: Dave Goetsch & Steven Molaro,12-05-2008,3T6615,7790000
1,17,17,The Tangerine Factor,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: Lee Aronsohn & Steven Molaro,19-05-2008,3T6616,7340000
2,1,18,The Bad Fish Paradigm,Mark Cendrowski,Story by: Bill PradyTeleplay by: Dave Goetsch & Steven Molaro,22-09-2008,3T7351,9360000
2,2,19,The Codpiece Topology,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Bill Prady & Lee Aronsohn,29-09-2008,3T7352,8760000
2,3,20,The Barbarian Sublimation,Mark Cendrowski,Story by: Nicole LorreTeleplay by: Steven Molaro & Eric Kaplan,06-10-2008,3T7353,9330000
2,4,21,The Griffin Equivalency,Mark Cendrowski,Story by: Bill Prady & Chuck LorreTeleplay by: Stephen Engel & Tim Doyle,13-10-2008,3T7354,9360000
2,5,22,The Euclid Alternative,Mark Cendrowski,Story by: Bill Prady & Steven MolaroTeleplay by: Lee Aronsohn & Dave Goetsch,20-10-2008,3T7355,9280000
2,6,23,The Cooper-Nowitzki Theorem,Mark Cendrowski,Story by: Stephen Engel & Daley HaggarTeleplay by: Tim Doyle & Richard Rosenstock,03-11-2008,3T7356,9670000
2,7,24,The Panty Piñata Polarization,Mark Cendrowski,Story by: Bill Prady & Tim DoyleTeleplay by: Jennifer Glickman & Steven Molaro,10-11-2008,3T7357,10010000
2,8,25,The Lizard-Spock Expansion,Mark Cendrowski,Story by: Bill PradyTeleplay by: Dave Goetsch & Jennifer Glickman,17-11-2008,3T7358,9760000
2,9,26,The White Asparagus Triangulation,Mark Cendrowski,Story by: Dave Goetsch & Steven MolaroTeleplay by: Stephen Engel & Richard Rosenstock,24-11-2008,3T7359,10190000
2,10,27,The Vartabedian Conundrum,Mark Cendrowski,Story by: Chuck Lorre & Steven MolaroTeleplay by: Bill Prady & Richard Rosenstock,08-12-2008,3T7360,10800000
2,11,28,The Bath Item Gift Hypothesis,Mark Cendrowski,Story by: Bill Prady & Richard RosenstockTeleplay by: Stephen Engel & Eric Kaplan,15-12-2008,3T7361,11420000
2,12,29,The Killer Robot Instability,Mark Cendrowski,Story by: Bill Prady & Richard RosenstockTeleplay by: Steven Molaro & Daley Haggar,12-01-2009,3T7362,11810000
2,13,30,The Friendship Algorithm,Mark Cendrowski,Story by: Bill Prady & Richard RosenstockTeleplay by: Chuck Lorre & Steven Molaro,19-01-2009,3T7363,11100000
2,14,31,The Financial Permeability,Mark Cendrowski,Story by: Chuck Lorre & Steven MolaroTeleplay by: Richard Rosenstock & Eric Kaplan,02-02-2009,3T7364,10890000
2,15,32,The Maternal Capacitance,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: Richard Rosenstock & Steven Molaro,09-02-2009,3T7365,13110000
2,16,33,The Cushion Saturation,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Bill Prady & Lee Aronsohn,02-03-2009,3T7366,10940000
2,17,34,The Terminator Decoupling,Mark Cendrowski,Story by: Bill Prady & Dave GoetschTeleplay by: Tim Doyle & Stephen Engel,09-03-2009,3T7367,9460000
2,18,35,The Work Song Nanocluster,Peter Chakos,Story by: Bill Prady & Lee AronsohnTeleplay by: Dave Goetsch & Richard Rosenstock,16-03-2009,3T7368,9760000
2,19,36,The Dead Hooker Juxtaposition,Mark Cendrowski,Steven Molaro,30-03-2009,3T7369,9770000
2,20,37,The Hofstadter Isotope,Mark Cendrowski,Dave Goetsch,13-04-2009,3T7370,10130000
2,21,38,The Vegas Renormalization,Mark Cendrowski,Story by: Jessica Ambrosetti & Nicole Lorre & Andrew RothTeleplay by: Steven Molaro,27-04-2009,3T7371,9310000
2,22,39,The Classified Materials Turbulence,Mark Cendrowski,Story by: Chuck Lorre & Lee AronsohnTeleplay by: Bill Prady & Steven Molaro,04-05-2009,3T7373,9250000
2,23,40,The Monopolar Expedition,Mark Cendrowski,Eric Kaplan & Richard Rosenstock,11-05-2009,3T7372,9810000
3,1,41,The Electric Can Opener Fluctuation,Mark Cendrowski,Steven Molaro,21-09-2009,3X5551,12960000
3,2,42,The Jiminy Conjecture,Mark Cendrowski,Jim Reynolds,28-09-2009,3X5552,13270000
3,3,43,The Gothowitz Deviation,Mark Cendrowski,Story by: Lee Aronsohn & Richard RosenstockTeleplay by: Bill Prady & Maria Ferrari,05-10-2009,3X5553,12520000
3,4,44,The Pirate Solution,Mark Cendrowski,Steve Holland,12-10-2009,3X5554,13070000
3,5,45,The Creepy Candy Coating Corollary,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: Lee Aronsohn & Steven Molaro,19-10-2009,3X5556,13470000
3,6,46,The Cornhusker Vortex,Mark Cendrowski,Story by: Bill Prady & Steven MolaroTeleplay by: Dave Goetsch & Richard Rosenstock,02-11-2009,3X5555,12730000
3,7,47,The Guitarist Amplification,Mark Cendrowski,Story by: Chuck Lorre & Lee AronsohnTeleplay by: Bill Prady & Richard Rosenstock & Jim Reynolds,09-11-2009,3X5557,12790000
3,8,48,The Adhesive Duck Deficiency,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Dave GoetschTeleplay by: Steven Molaro & Eric Kaplan & Maria Ferrari,16-11-2009,3X5558,13230000
3,9,49,The Vengeance Formulation,Mark Cendrowski,Story by: Chuck Lorre & Maria FerrariTeleplay by: Richard Rosenstock & Jim Reynolds & Steve Holland,23-11-2009,3X5559,14130000
3,10,50,The Gorilla Experiment,Mark Cendrowski,Story by: Chuck Lorre & Richard Rosenstock & Steve HollandTeleplay by: Bill Prady & Steven Molaro & Maria Ferrari,07-12-2009,3X5560,14380000
3,11,51,The Maternal Congruence,Mark Cendrowski,Story by: Lee Aronsohn & Steven Molaro & Richard Rosenstock & Maria FerrariTeleplay by: Chuck Lorre & Bill Prady & Dave Goetsch,14-12-2009,3X5562,15580000
3,12,52,The Psychic Vortex,Mark Cendrowski,Story by: Lee Aronsohn & Steven MolaroTeleplay by: Chuck Lorre & Eric Kaplan & Jim Reynolds,11-01-2010,3X5561,15820000
3,13,53,The Bozeman Reaction,Mark Cendrowski,Story by: Bill Prady & Lee Aronsohn & Jim ReynoldsTeleplay by: Chuck Lorre & Steven Molaro & Steve Holland,18-01-2010,3X5563,14990000
3,14,54,The Einstein Approximation,Mark Cendrowski,Story by: Lee Aronsohn & Dave Goetsch & Steve HollandTeleplay by: Chuck Lorre & Steven Molaro & Eric Kaplan,01-02-2010,3X5565,15510000
3,15,55,The Large Hadron Collision,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Jim ReynoldsTeleplay by: Lee Aronsohn & Richard Rosenstock & Maria Ferrari,08-02-2010,3X5564,16260000
3,16,56,The Excelsior Acquisition,Peter Chakos,Story by: Chuck Lorre & Lee Aronsohn & Steven MolaroTeleplay by: Bill Prady & Steve Holland & Maria Ferrari,01-03-2010,3X5566,15730000
3,17,57,The Precious Fragmentation,Mark Cendrowski,Story by: Lee Aronsohn & Eric Kaplan & Maria FerrariTeleplay by: Bill Prady & Steven Molaro & Richard Rosenstock,08-03-2010,3X5567,16320000
3,18,58,The Pants Alternative,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Steve HollandTeleplay by: Eric Kaplan & Richard Rosenstock & Jim Reynolds,22-03-2010,3X5568,13420000
3,19,59,The Wheaton Recurrence,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Nicole Lorre & Jessica AmbrosettiTeleplay by: Bill Prady & Dave Goetsch & Jim Reynolds & Maria Ferrari,12-04-2010,3X5569,13390000
3,20,60,The Spaghetti Catalyst,Anthony Rich,Chuck Lorre & Bill Prady & Lee Aronsohn & Steven Molaro,03-05-2010,3X5570,11630000
3,21,61,The Plimpton Stimulation,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Lee AronsohnTeleplay by: Steven Molaro & Jim Reynolds & Maria Ferrari,10-05-2010,3X5571,13730000
3,22,62,The Staircase Implementation,Mark Cendrowski,Story by: Lee Aronsohn & Steven Molaro & Steve HollandTeleplay by: Chuck Lorre & Dave Goetsch & Maria Ferrari,17-05-2010,3X5572,15020000
3,23,63,The Lunar Excitation,Peter Chakos,Story by: Chuck Lorre & Bill Prady & Maria FerrariTeleplay by: Lee Aronsohn & Steven Molaro & Steve Holland,24-05-2010,3X5573,14780000
4,1,64,The Robotic Manipulation,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Dave GoetschTeleplay by: Steven Molaro & Eric Kaplan & Steve Holland,23-09-2010,3X6651,14040000
4,2,65,The Cruciferous Vegetable Amplification,Mark Cendrowski,Story by: Bill Prady & Lee Aronsohn & Steve HollandTeleplay by: Chuck Lorre & Steven Molaro & Jim Reynolds,30-09-2010,3X6652,13050000
4,3,66,The Zazzy Substitution,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Jim ReynoldsTeleplay by: Lee Aronsohn & Steven Molaro & Maria Ferrari,07-10-2010,3X6653,12590000
4,4,67,The Hot Troll Deviation,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Adam FabermanTeleplay by: Bill Prady & Lee Aronsohn & Maria Ferrari,14-10-2010,3X6654,12570000
4,5,68,The Desperation Emanation,Mark Cendrowski,Story by: Bill Prady & Lee Aronsohn & Dave GoetschTeleplay by: Chuck Lorre & Steven Molaro & Steve Holland,21-10-2010,3X6655,13050000
4,6,69,The Irish Pub Formulation,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Steven MolaroTeleplay by: Bill Prady & Eric Kaplan & Maria Ferrari,28-10-2010,3X6656,13040000
4,7,70,The Apology Insufficiency,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by: Bill Prady & Steven Molaro & Steve Holland,04-11-2010,3X6657,14000000
4,8,71,The 21-Second Excitation,Mark Cendrowski,Story by: Chuck Lorre & Bill Prady & Jim ReynoldsTeleplay by: Lee Aronsohn & Steven Molaro & Steve Holland,11-11-2010,3X6658,13110000
4,9,72,The Boyfriend Complexity,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Jim ReynoldsTeleplay by: Bill Prady & Steven Molaro & Dave Goetsch,18-11-2010,3X6659,13020000
4,10,73,The Alien Parasite Hypothesis,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Steve HollandTeleplay by: Lee Aronsohn & Jim Reynolds & Maria Ferrari,09-12-2010,3X6660,12030000
4,11,74,The Justice League Recombination,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by: Bill Prady & Steven Molaro & Steve Holland,16-12-2010,3X6661,13240000
4,12,75,The Bus Pants Utilization,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by: Bill Prady & Steven Molaro & Eric Kaplan,06-01-2011,3X6662,13980000
4,13,76,The Love Car Displacement,Anthony Rich,Story by: Chuck Lorre & Bill Prady & Dave GoetschTeleplay by: Lee Aronsohn & Steven Molaro & Steve Holland,20-01-2011,3X6663,13630000
4,14,77,The Thespian Catalyst,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Jim ReynoldsTeleplay by: Bill Prady & Steven Molaro & Maria Ferrari,03-02-2011,3X6664,13830000
4,15,78,The Benefactor Factor,Mark Cendrowski,Story by: Bill Prady & Lee Aronsohn & Dave GoetschTeleplay by: Chuck Lorre & Eric Kaplan & Steve Holland,10-02-2011,3X6665,12790000
4,16,79,The Cohabitation Formulation,Mark Cendrowski,Story by: Chuck Lorre & Lee Aronsohn & Dave GoetschTeleplay by: Bill Prady & Steven Molaro & Jim Reynolds,17-02-2011,3X6666,12410000
4,17,80,The Toast Derivation,Mark Cendrowski,Story by: Bill Prady & Dave Goetsch & Maria FerrariTeleplay by: Chuck Lorre & Steven Molaro & Jim Reynolds,24-02-2011,3X6667,12350000
4,18,81,The Prestidigitation Approximation,Mark Cendrowski,Story by: Bill Prady & Steve Holland & Eddie GorodetskyTeleplay by: Chuck Lorre & Steven Molaro & Eric Kaplan,10-03-2011,3X6668,12060000
4,19,82,The Zarnecki Incursion,Peter Chakos,Story by: Chuck Lorre & Steven Molaro & Maria FerrariTeleplay by: Bill Prady & Dave Goetsch & Jim Reynolds,31-03-2011,3X6669,11920000
4,20,83,The Herb Garden Germination,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Eddie GorodetskyTeleplay by: Bill Prady & Steven Molaro & Steve Holland,07-04-2011,3X6670,11400000
4,21,84,The Agreement Dissection,Mark Cendrowski,Story by: Bill Prady & Dave Goetsch & Eddie GorodetskyTeleplay by: Chuck Lorre & Steven Molaro & Eric Kaplan,28-04-2011,3X6671,10710000
4,22,85,The Wildebeest Implementation,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Eric KaplanTeleplay by: Bill Prady & Eddie Gorodetsky & Maria Ferrari,05-05-2011,3X6672,10500000
4,23,86,The Engagement Reaction,Howard Murray,Story by: Bill Prady & Eric Kaplan & Jim ReynoldsTeleplay by: Chuck Lorre & Steven Molaro & Steve Holland,12-05-2011,3X6673,10780000
4,24,87,The Roommate Transmogrification,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Eddie GorodetskyTeleplay by: Bill Prady & Eric Kaplan & Jim Reynolds,19-05-2011,3X6674,11300000
5,1,88,The Skank Reflex Analysis,Mark Cendrowski,Story by: Eric Kaplan & Maria Ferrari & Anthony Del BroccoloTeleplay by: Chuck Lorre & Bill Prady & Steven Molaro,22-09-2011,3X6851,14300000
5,2,89,The Infestation Hypothesis,Mark Cendrowski,Story by: Bill Prady & Steven Molaro & Maria FerrariTeleplay by: Chuck Lorre & Jim Reynolds & Steve Holland,22-09-2011,3X6852,14940000
5,3,90,The Pulled Groin Extrapolation,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by: Bill Prady & Steven Molaro & Dave Goetsch,29-09-2011,3X6853,14740000
5,4,91,The Wiggly Finger Catalyst,Mark Cendrowski,Story by: Chuck Lorre & Dave Goetsch & Anthony Del BroccoloTeleplay by: Bill Prady & Steven Molaro & Steve Holland,06-10-2011,3X6854,13920000
5,5,92,The Russian Rocket Reaction,Mark Cendrowski,Story by: Bill Prady & Steven Molaro & Jim ReynoldsTeleplay by: Chuck Lorre & Eric Kaplan & Maria Ferrari,13-10-2011,3X6855,13580000
5,6,93,The Rhinitis Revelation,Howard Murray,Story by: Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by: Bill Prady & Steven Molaro & Jim Reynolds,20-10-2011,3X6857,14930000
5,7,94,The Good Guy Fluctuation,Mark Cendrowski,Story by: Chuck Lorre & Dave Goetsch & Maria FerrariTeleplay by: Bill Prady & Steven Molaro & Steve Holland,27-10-2011,3X6856,14540000
5,8,95,The Isolation Permutation,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Tara HernandezTeleplay by: Bill Prady & Steven Molaro & Steve Holland,03-11-2011,3X6858,15980000
5,9,96,The Ornithophobia Diffusion,Mark Cendrowski,Story by: Chuck Lorre & Dave Goetsch & Anthony Del BroccoloTeleplay by: Bill Prady & Steven Molaro & Eric Kaplan,10-11-2011,3X6859,15890000
5,10,97,The Flaming Spittoon Acquisition,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Dave GoetschTeleplay by: Bill Prady & Jim Reynolds & Steve Holland,17-11-2011,3X6860,15050000
5,11,98,The Speckerman Recurrence,Anthony Rich,Story by: Chuck Lorre & Bill Prady & Steve HollandTeleplay by: Steven Molaro & Eric Kaplan & Anthony Del Broccolo,08-12-2011,3X6861,14020000
5,12,99,The Shiny Trinket Maneuver,Mark Cendrowski,Story by: Chuck Lorre & Steve Holland & Tara HernandezTeleplay by: Bill Prady & Steven Molaro & Jim Reynolds,12-01-2012,3X6862,16130000
5,13,100,The Recombination Hypothesis,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Bill Prady & Steven Molaro,19-01-2012,3X6863,15830000
5,14,101,The Beta Test Initiation,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Eric KaplanTeleplay by: Bill Prady & Dave Goetsch & Maria Ferrari,26-01-2012,3X6864,16130000
5,15,102,The Friendship Contraction,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by: Bill Prady & Steven Molaro & Steve Holland,02-02-2012,3X6865,16540000
